term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value
x_heatwave_indicator,-0.3264632493908357,0.5643853346432137,heatwave_indicator,1 versus 0,0.7214708890560738,0.23867356313464283,2.1808877234623623,0.5629668599581191
x_dewpoint_c,-0.3670134009132678,0.27305002005173923,dewpoint_c,per IQR,0.692800360824636,0.40567966218257373,1.1831313834577617,0.17890791852494936
x_precipitation_mm,-0.004460745891988986,0.023089822487756623,precipitation_mm,per IQR,0.9955491884579412,0.9514988527561524,1.0416388666873848,0.8468093870704974
x_wind_speed_ms,0.0683713539155289,0.11114770878573839,wind_speed_ms,per IQR,1.0707628666399454,0.8611572495321123,1.3313864769737849,0.5384625510749756
