outcome,building_scale_quartile,n_numeric,n_positive,positive_percent,ci_low_percent,ci_high_percent
Deaths,"Q1, smaller",51,24,47.05882352941176,34.052771426416406,60.47692865527341
Deaths,Q2,41,19,46.34146341463415,32.05599911818589,61.253784654025644
Deaths,Q3,45,22,48.888888888888886,34.95678935302451,62.99577567351026
Deaths,"Q4, larger",47,11,23.404255319148938,13.603136423924592,37.22453225684077
Injuries,"Q1, smaller",34,23,67.64705882352942,50.84258404811939,80.86854867354143
Injuries,Q2,29,20,68.96551724137932,50.76952952728146,82.72457551023193
Injuries,Q3,35,26,74.28571428571429,57.93037572935127,85.83713127344986
Injuries,"Q4, larger",33,19,57.57575757575758,40.80697369146003,72.76464100497012
