term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value,weather_product,restriction,n_observations,n_strata,n_informative_strata
x_heatwave_indicator,-0.2567285437589456,0.5682738329890955,heatwave_indicator,1 versus 0,0.7735781778904556,0.25396844386906875,2.3562895775225887,0.6514353505241107,ERA5-Land,Exclude 20-km coastal fallback,973,223,20
x_dewpoint_c,-0.36678495158586444,0.2804462509620144,dewpoint_c,per IQR,0.6929586486807799,0.3999324570642992,1.200681965915784,0.19092017251999194,ERA5-Land,Exclude 20-km coastal fallback,973,223,20
x_precipitation_mm,-0.0066629015085764125,0.022979223441126375,precipitation_mm,per IQR,0.9933592464025964,0.949611638590649,1.0391222604200832,0.7718519700190838,ERA5-Land,Exclude 20-km coastal fallback,973,223,20
x_wind_speed_ms,0.1177400292745702,0.11214317106251072,wind_speed_ms,per IQR,1.1249516188608164,0.9029748423706053,1.4014965704417373,0.2937603440996881,ERA5-Land,Exclude 20-km coastal fallback,973,223,20
