outcome,event_share,consequence_share,gini,n_numeric,total_reported
Deaths,0.0,0.0,0.8892267706302794,225,1026.0
Deaths,0.0044444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.008888888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.013333333333333334,0.0,0.8892267706302794,225,1026.0
Deaths,0.017777777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.022222222222222223,0.0,0.8892267706302794,225,1026.0
Deaths,0.02666666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.03111111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.035555555555555556,0.0,0.8892267706302794,225,1026.0
Deaths,0.04,0.0,0.8892267706302794,225,1026.0
Deaths,0.044444444444444446,0.0,0.8892267706302794,225,1026.0
Deaths,0.04888888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.05333333333333334,0.0,0.8892267706302794,225,1026.0
Deaths,0.057777777777777775,0.0,0.8892267706302794,225,1026.0
Deaths,0.06222222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.06666666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.07111111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.07555555555555556,0.0,0.8892267706302794,225,1026.0
Deaths,0.08,0.0,0.8892267706302794,225,1026.0
Deaths,0.08444444444444445,0.0,0.8892267706302794,225,1026.0
Deaths,0.08888888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.09333333333333334,0.0,0.8892267706302794,225,1026.0
Deaths,0.09777777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.10222222222222223,0.0,0.8892267706302794,225,1026.0
Deaths,0.10666666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.1111111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.11555555555555555,0.0,0.8892267706302794,225,1026.0
Deaths,0.12,0.0,0.8892267706302794,225,1026.0
Deaths,0.12444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.1288888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.13333333333333333,0.0,0.8892267706302794,225,1026.0
Deaths,0.13777777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.14222222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.14666666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.1511111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.15555555555555556,0.0,0.8892267706302794,225,1026.0
Deaths,0.16,0.0,0.8892267706302794,225,1026.0
Deaths,0.16444444444444445,0.0,0.8892267706302794,225,1026.0
Deaths,0.1688888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.17333333333333334,0.0,0.8892267706302794,225,1026.0
Deaths,0.17777777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.18222222222222223,0.0,0.8892267706302794,225,1026.0
Deaths,0.18666666666666668,0.0,0.8892267706302794,225,1026.0
Deaths,0.19111111111111112,0.0,0.8892267706302794,225,1026.0
Deaths,0.19555555555555557,0.0,0.8892267706302794,225,1026.0
Deaths,0.2,0.0,0.8892267706302794,225,1026.0
Deaths,0.20444444444444446,0.0,0.8892267706302794,225,1026.0
Deaths,0.2088888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.21333333333333335,0.0,0.8892267706302794,225,1026.0
Deaths,0.21777777777777776,0.0,0.8892267706302794,225,1026.0
Deaths,0.2222222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.22666666666666666,0.0,0.8892267706302794,225,1026.0
Deaths,0.2311111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.23555555555555555,0.0,0.8892267706302794,225,1026.0
Deaths,0.24,0.0,0.8892267706302794,225,1026.0
Deaths,0.24444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.24888888888888888,0.0,0.8892267706302794,225,1026.0
Deaths,0.25333333333333335,0.0,0.8892267706302794,225,1026.0
Deaths,0.2577777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.26222222222222225,0.0,0.8892267706302794,225,1026.0
Deaths,0.26666666666666666,0.0,0.8892267706302794,225,1026.0
Deaths,0.27111111111111114,0.0,0.8892267706302794,225,1026.0
Deaths,0.27555555555555555,0.0,0.8892267706302794,225,1026.0
Deaths,0.28,0.0,0.8892267706302794,225,1026.0
Deaths,0.28444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.28888888888888886,0.0,0.8892267706302794,225,1026.0
Deaths,0.29333333333333333,0.0,0.8892267706302794,225,1026.0
Deaths,0.29777777777777775,0.0,0.8892267706302794,225,1026.0
Deaths,0.3022222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.30666666666666664,0.0,0.8892267706302794,225,1026.0
Deaths,0.3111111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.31555555555555553,0.0,0.8892267706302794,225,1026.0
Deaths,0.32,0.0,0.8892267706302794,225,1026.0
Deaths,0.3244444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.3288888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.3333333333333333,0.0,0.8892267706302794,225,1026.0
Deaths,0.3377777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.3422222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.3466666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.3511111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.35555555555555557,0.0,0.8892267706302794,225,1026.0
Deaths,0.36,0.0,0.8892267706302794,225,1026.0
Deaths,0.36444444444444446,0.0,0.8892267706302794,225,1026.0
Deaths,0.3688888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.37333333333333335,0.0,0.8892267706302794,225,1026.0
Deaths,0.37777777777777777,0.0,0.8892267706302794,225,1026.0
Deaths,0.38222222222222224,0.0,0.8892267706302794,225,1026.0
Deaths,0.38666666666666666,0.0,0.8892267706302794,225,1026.0
Deaths,0.39111111111111113,0.0,0.8892267706302794,225,1026.0
Deaths,0.39555555555555555,0.0,0.8892267706302794,225,1026.0
Deaths,0.4,0.0,0.8892267706302794,225,1026.0
Deaths,0.40444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.4088888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.41333333333333333,0.0,0.8892267706302794,225,1026.0
Deaths,0.4177777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.4222222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.4266666666666667,0.0,0.8892267706302794,225,1026.0
Deaths,0.4311111111111111,0.0,0.8892267706302794,225,1026.0
Deaths,0.43555555555555553,0.0,0.8892267706302794,225,1026.0
Deaths,0.44,0.0,0.8892267706302794,225,1026.0
Deaths,0.4444444444444444,0.0,0.8892267706302794,225,1026.0
Deaths,0.4488888888888889,0.0,0.8892267706302794,225,1026.0
Deaths,0.4533333333333333,0.0,0.8892267706302794,225,1026.0
Deaths,0.4577777777777778,0.0,0.8892267706302794,225,1026.0
Deaths,0.4622222222222222,0.0,0.8892267706302794,225,1026.0
Deaths,0.4666666666666667,0.0,0.8892267706302794,225,1026.0
