term,log_odds,std_error,variable,effect_scale,odds_ratio,ci_low,ci_high,p_value,definition,n_observations,n_strata,n_informative_strata,converged
x_heatwave_indicator,-0.3264632493908357,0.5643853346432137,heatwave_indicator,1 versus 0,0.7214708890560738,0.2386735631346428,2.1808877234623623,0.5629668599581191,heatwave_indicator,995,228,21,True
x_hw_p85_3d,-0.1388346697843442,0.4730449828679171,hw_p85_3d,1 versus 0,0.870371915339963,0.344382322478531,2.1997275166752552,0.7691465146848385,hw_p85_3d,995,228,27,True
x_hw_p90_2d,0.1904665943473213,0.4088772500709514,hw_p90_2d,1 versus 0,1.2098139583375316,0.5428442591269846,2.696261016266809,0.6413384064358751,hw_p90_2d,995,228,30,True
x_hw_p90_4d,-0.0720432282771839,0.6531411107691655,hw_p90_4d,1 versus 0,0.9304906714331348,0.25867060931533,3.347163761340296,0.9121693157038624,hw_p90_4d,995,228,14,True
x_hw_p95_3d,-1.1060140584718592,1.0462756402767457,hw_p95_3d,1 versus 0,0.3308751852778136,0.0425653680284491,2.572006147332172,0.2904676613294921,hw_p95_3d,995,228,12,True
x_hw_p90_3d_no_floor,-0.0374938588040786,0.3628494651313225,hw_p90_3d_no_floor,1 versus 0,0.9632003329046144,0.4729910509382491,1.9614639208653488,0.917699702594993,hw_p90_3d_no_floor,995,228,46,True
