outcome_field,capacity_metric,effect_scale,log_ratio,std_error,multiplicative_ratio,ci_low,ci_high,p_value,n_observations,n_positive,n_countries,effective_sample_size,weighting,reference_period
deaths,ctif_career_firefighters_per_100k,per IQR of log1p national capacity,-0.07346830761260335,0.2056483363221508,0.9291655928008165,0.6209286823974041,1.3904152333751207,0.7209030579697486,120,50,22,120.0,unweighted because numeric reporting exceeded 95%,most recent national data reported during 2010-2023
deaths,ctif_total_firefighters_per_100k,per IQR of log1p national capacity,-0.025253098905836498,0.08785637158841374,0.9750630933928277,0.8208198778387042,1.1582907063608145,0.773778369926462,120,50,22,120.0,unweighted because numeric reporting exceeded 95%,most recent national data reported during 2010-2023
deaths,ctif_fire_stations_per_100k,per IQR of log1p national capacity,-0.45047038272574313,0.24786634400655283,0.6373282928835171,0.39208037694677866,1.035979806163455,0.0691570673456257,93,40,20,93.0,unweighted because numeric reporting exceeded 95%,most recent national data reported during 2010-2023
deaths,ctif_fire_engines_per_100k,per IQR of log1p national capacity,-0.31185768542209114,0.2505370265645133,0.7320857072834628,0.4480232021080221,1.1962538553516837,0.2132211338093013,99,40,20,99.0,unweighted because numeric reporting exceeded 95%,most recent national data reported during 2010-2023
injuries,ctif_career_firefighters_per_100k,per IQR of log1p national capacity,0.23227504976494645,0.4104956434873563,1.2614666472210372,0.5642282496053955,2.820309162407219,0.5715022293464642,86,59,19,81.72762727668312,stabilized inverse-probability weighting,most recent national data reported during 2010-2023
injuries,ctif_total_firefighters_per_100k,per IQR of log1p national capacity,-0.11026492172800811,0.12578582466051516,0.8955968408030183,0.6999088700457012,1.1459973370589995,0.3806993265854409,86,59,19,81.72762727668312,stabilized inverse-probability weighting,most recent national data reported during 2010-2023
injuries,ctif_fire_stations_per_100k,per IQR of log1p national capacity,-0.053100483360262414,0.4121512479157279,0.9482847208595296,0.42277425045073314,2.1270072878301445,0.8974863339257068,66,49,17,62.60937061234365,stabilized inverse-probability weighting,most recent national data reported during 2010-2023
injuries,ctif_fire_engines_per_100k,per IQR of log1p national capacity,0.15491860515395267,0.44863749928998187,1.1675629236329776,0.48460997178720744,2.812990363394688,0.7298620161111842,71,50,17,67.33742692469205,stabilized inverse-probability weighting,most recent national data reported during 2010-2023
