term,log_odds,std_error,odds_ratio,ci_low,ci_high,p_value,outcome_field,n_observations,n_reported,event_year_iqr,log_gdp_iqr,reference_source_grade,reference_continent,outcome,predictor
C(source_grade)[T.B],0.0493995933982995,0.4279797665432809,1.0506400957170194,0.4540986794117774,2.4308474364165664,0.9081082108369553,injuries,221,158,10.0,1.1050913463876455,A,Asia,Injuries,"Grade B vs A
source"
C(source_grade)[T.C],-1.2183501982501694,0.5535485375644743,0.2957176401765518,0.0999280020427271,0.8751192951320811,0.0277373197648143,injuries,221,158,10.0,1.1050913463876455,A,Asia,Injuries,"Grade C vs A
source"
event_year_scaled,0.1039897795948468,0.2383602922640153,1.1095891144073275,0.6954498384375081,1.7703476724897822,0.6626398261170426,injuries,221,158,10.0,1.1050913463876455,A,Asia,Injuries,"Event year
(per 10 years)"
log_gdp_scaled,0.9468935160605622,0.2835543388621567,2.577689657240532,1.4786463071500755,4.493626323560303,0.0008396793478126,injuries,221,158,10.0,1.1050913463876455,A,Asia,Injuries,"Log GDP per capita
(per IQR)"
C(source_grade)[T.B],-0.4608989168953104,0.4528411973819594,0.6307164289507146,0.2596378084017493,1.5321467092835832,0.3087760075629218,evacuated,221,42,10.0,1.1050913463876455,A,Asia,Evacuated,"Grade B vs A
source"
C(source_grade)[T.C],-2.1511025761440905,0.9693737405701524,0.1163557958973465,0.0174036537763104,0.7779212005086862,0.0264823563238233,evacuated,221,42,10.0,1.1050913463876455,A,Asia,Evacuated,"Grade C vs A
source"
event_year_scaled,1.495532719646737,0.4331476533003738,4.461712761911371,1.9089690256465464,10.42807950383614,0.0005549877441868,evacuated,221,42,10.0,1.1050913463876455,A,Asia,Evacuated,"Event year
(per 10 years)"
log_gdp_scaled,0.4429665184510138,0.3939539586990714,1.557320191976586,0.7195111610105319,3.3706859764785366,0.2608383268487253,evacuated,221,42,10.0,1.1050913463876455,A,Asia,Evacuated,"Log GDP per capita
(per IQR)"
