event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0022,HRF-0022,2007-08-07,0.0,Matched control day,-1.5224578857421918,0.0
HRF-0022,HRF-0022,2007-08-21,0.0,Matched control day,-1.7552154541015668,0.0
HRF-0022,HRF-0022,2007-08-28,0.0,Matched control day,0.9519073486328082,0.0
HRF-0023,HRF-0023,2007-08-18,1.0,Event day,-7.9801284790039055,0.0
HRF-0023,HRF-0023,2007-08-04,0.0,Matched control day,1.663166809082032,1.0
HRF-0023,HRF-0023,2007-08-11,0.0,Matched control day,-5.120249938964843,0.0
HRF-0023,HRF-0023,2007-08-25,0.0,Matched control day,0.1221359252929694,0.0
HRF-0024,HRF-0024,2007-09-23,1.0,Event day,-1.0336791992187493,0.0
HRF-0024,HRF-0024,2007-09-02,0.0,Matched control day,-2.9447204589843743,0.0
HRF-0024,HRF-0024,2007-09-09,0.0,Matched control day,-0.8460876464843743,0.0
HRF-0024,HRF-0024,2007-09-16,0.0,Matched control day,-8.271456909179687,0.0
HRF-0024,HRF-0024,2007-09-30,0.0,Matched control day,-4.570620727539062,0.0
HRF-0026,HRF-0026,2008-04-13,1.0,Event day,-7.062612915039065,0.0
HRF-0026,HRF-0026,2008-04-06,0.0,Matched control day,-12.507864379882816,0.0
HRF-0026,HRF-0026,2008-04-20,0.0,Matched control day,-3.3194793701171896,0.0
HRF-0026,HRF-0026,2008-04-27,0.0,Matched control day,1.0692535400390604,0.0
HRF-0025,HRF-0025,2008-01-25,1.0,Event day,-7.458544921874999,0.0
HRF-0025,HRF-0025,2008-01-04,0.0,Matched control day,-3.571337890625,0.0
HRF-0025,HRF-0025,2008-01-11,0.0,Matched control day,-4.467822265624999,0.0
HRF-0025,HRF-0025,2008-01-18,0.0,Matched control day,-7.270632934570312,0.0
HRF-0028,HRF-0028,2008-10-28,1.0,Event day,-5.6786651611328125,0.0
HRF-0028,HRF-0028,2008-10-07,0.0,Matched control day,0.13922119140625,1.0
HRF-0028,HRF-0028,2008-10-14,0.0,Matched control day,-0.2925262451171875,0.0
HRF-0028,HRF-0028,2008-10-21,0.0,Matched control day,-1.8518524169921875,0.0
HRF-0029,HRF-0029,2009-02-09,1.0,Event day,2.027560424804687,0.0
HRF-0029,HRF-0029,2009-02-02,0.0,Matched control day,-2.8325317382812507,0.0
HRF-0029,HRF-0029,2009-02-16,0.0,Matched control day,-9.557904052734376,0.0
HRF-0029,HRF-0029,2009-02-23,0.0,Matched control day,-7.502987670898438,0.0
HRF-0030,HRF-0030,2009-03-13,1.0,Event day,-0.9627227783203124,0.0
HRF-0030,HRF-0030,2009-03-06,0.0,Matched control day,-0.7950592041015625,0.0
HRF-0030,HRF-0030,2009-03-20,0.0,Matched control day,-1.9478302001953125,0.0
HRF-0030,HRF-0030,2009-03-27,0.0,Matched control day,-6.151412963867188,0.0
HRF-0031,HRF-0031,2009-05-01,1.0,Event day,-2.037951660156253,0.0
HRF-0031,HRF-0031,2009-05-08,0.0,Matched control day,-4.119387817382815,0.0
HRF-0031,HRF-0031,2009-05-15,0.0,Matched control day,-2.221087646484378,0.0
