event_id,stratum_id,date,case,latitude,longitude,tmax_c,tmax_lag1_c,tmax_lag2_c,tmax_lag3_c,tmax_p85_c,tmax_p90_c,tmax_p95_c,tmax_anomaly_c,tmax_percentile_0_100,heatwave_indicator,hw_p85_3d,hw_p90_2d,hw_p90_3d,hw_p90_4d,hw_p95_3d,hw_p90_3d_no_floor,dewpoint_c,precipitation_mm,wind_speed_ms,weather_status,era5_sampling_radius_km
HRF-0002,HRF-0002,2000-08-27,1.0,55.75204,37.61781,17.633599853515648,16.902246093750023,14.925592041015648,16.274133300781273,25.875540924072286,27.12627105712893,28.7351501464844,-9.49267120361328,19.892473118279568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.097961044311546,0.1683992235825826,2.5715464583293803,completed,
HRF-0002,HRF-0002,2000-08-06,0.0,55.75204,37.61781,19.67829284667971,20.1396423339844,19.391030883789085,22.85785827636721,25.875540924072286,27.12627105712893,28.7351501464844,-7.447978210449218,34.623655913978496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.722027715047204,0.2598613499458224,2.8707370252243933,completed,
HRF-0002,HRF-0002,2000-08-13,0.0,55.75204,37.61781,21.558251953125023,20.298623657226585,19.8574157714844,19.13507995605471,25.875540924072286,27.12627105712893,28.7351501464844,-5.5680191040039055,52.04301075268817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56938514709475,5.287973868007612,1.5676962113561426,completed,
HRF-0002,HRF-0002,2000-08-20,0.0,55.75204,37.61781,20.088006591796898,21.529641723632835,20.03894958496096,20.97297058105471,25.875540924072286,27.12627105712893,28.7351501464844,-7.038264465332031,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.454261398315452,15.212729573249815,0.9485965085636102,completed,
HRF-0001,HRF-0001,2000-08-02,1.0,22.27832,114.17469,27.72873840332033,27.718865966796898,28.531121826171898,30.289163208007835,31.02452392578128,31.332640075683617,31.879445648193386,-3.603901672363282,12.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.638501739501976,17.19360947606674,4.133216954453734,completed,
HRF-0001,HRF-0001,2000-08-09,0.0,22.27832,114.17469,30.21149597167971,29.54425964355471,28.41584167480471,28.180596923828148,31.02452392578128,31.332640075683617,31.879445648193386,-1.121144104003907,67.20430107526882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.183105087280296,1.2861503986982823,2.709979777198289,completed,
HRF-0001,HRF-0001,2000-08-16,0.0,22.27832,114.17469,28.807794189453148,30.010400390625023,29.4760681152344,29.58394775390628,31.02452392578128,31.332640075683617,31.879445648193386,-2.524845886230469,32.795698924731184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.30210965474447,3.5671055317152423,3.4158483534366164,completed,
HRF-0001,HRF-0001,2000-08-23,0.0,22.27832,114.17469,31.59446105957033,30.169793701171898,29.80292663574221,30.4174743652344,31.02452392578128,31.332640075683617,31.879445648193386,0.261820983886718,92.1505376344086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.534254328409872,15.161143585373791,6.106979985544939,completed,
HRF-0001,HRF-0001,2000-08-30,0.0,22.27832,114.17469,29.88733825683596,31.117944335937523,28.826516723632835,28.169061279296898,31.02452392578128,31.332640075683617,31.879445648193386,-1.445301818847657,58.06451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08766644795736,3.857225179672241,1.7725026940953177,completed,
HRF-0006,HRF-0006,2002-06-02,1.0,-34.89842,148.85272,13.199929809570335,13.360040283203148,11.81263122558596,12.735635375976583,13.884099578857445,14.416856384277366,15.715258026123069,-1.2169265747070312,75.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097648239135765,0.0021427867977763,0.8911194608553377,completed,
HRF-0006,HRF-0006,2002-06-09,0.0,-34.89842,148.85272,9.653192138671898,10.27259216308596,17.979348754882835,16.18732604980471,13.884099578857445,14.416856384277366,15.715258026123069,-4.763664245605469,22.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.548583602905296,0.6692737339903942,5.040059318286473,completed,
HRF-0006,HRF-0006,2002-06-16,0.0,-34.89842,148.85272,13.13861999511721,14.170098876953148,11.499307250976583,9.45942077636721,13.884099578857445,14.416856384277366,15.715258026123069,-1.2782363891601562,74.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0419784545898665,3.704022036515653,2.069067381956406,completed,
HRF-0006,HRF-0006,2002-06-23,0.0,-34.89842,148.85272,10.817224121093773,9.731484985351583,8.379556274414085,10.331323242187525,13.884099578857445,14.416856384277366,15.715258026123069,-3.5996322631835938,37.11111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2841112772624115,0.0132515748418882,2.882704325394484,completed,
