latitude,longitude,api_version,api_name,sources,time_standard,fill_value,request_start,request_end,accessed_utc,request_url
-6.21462,106.84513,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:19:46.682435+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=106.84513&latitude=-6.21462&start=19910101&end=20201231&format=JSON
48.88341,2.23894,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:07.922941+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.23894&latitude=48.88341&start=19910101&end=20201231&format=JSON
6.448,3.397,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:11.265531+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=3.397&latitude=6.448&start=19910101&end=20201231&format=JSON
40.37767,49.89201,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:14.918474+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=49.89201&latitude=40.37767&start=19910101&end=20201231&format=JSON
36.1099,-115.1745,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:18.338063+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-115.1745&latitude=36.1099&start=19910101&end=20201231&format=JSON
41.8988,-87.623,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:35.787261+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-87.623&latitude=41.8988&start=19910101&end=20201231&format=JSON
6.449,3.398,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:39.231445+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=3.398&latitude=6.449&start=19910101&end=20201231&format=JSON
48.85341,2.3488,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20250127,2026-08-31T11:20:42.527231+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.3488&latitude=48.85341&start=19910101&end=20250127&format=JSON
48.93564,2.35387,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:20:45.844372+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.35387&latitude=48.93564&start=19910101&end=20201231&format=JSON
25.40177,55.47878,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:03.253491+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=55.47878&latitude=25.40177&start=19910101&end=20201231&format=JSON
32.06167,118.77778,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20240223,2026-08-31T11:21:06.624219+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=118.77778&latitude=32.06167&start=19910101&end=20240223&format=JSON
48.8646,2.3984,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:09.770607+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.3984&latitude=48.8646&start=19910101&end=20201231&format=JSON
51.5053,-0.2269,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:12.932741+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-0.2269&latitude=51.5053&start=19910101&end=20201231&format=JSON
35.69439,51.42151,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:30.383206+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=51.42151&latitude=35.69439&start=19910101&end=20201231&format=JSON
51.5131,-0.2159,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:33.720887+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-0.2159&latitude=51.5131&start=19910101&end=20201231&format=JSON
21.2883,-157.826,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:37.220981+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-157.826&latitude=21.2883&start=19910101&end=20201231&format=JSON
36.29807,59.60567,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:21:40.741356+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=59.60567&latitude=36.29807&start=19910101&end=20201231&format=JSON
53.4843,-2.235,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:01.917272+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-2.235&latitude=53.4843&start=19910101&end=20201231&format=JSON
34.75778,113.64861,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:05.202573+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=113.64861&latitude=34.75778&start=19910101&end=20201231&format=JSON
40.7624,-73.9738,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:08.528458+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-73.9738&latitude=40.7624&start=19910101&end=20201231&format=JSON
-23.5421,-46.6364,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:11.969537+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-46.6364&latitude=-23.5421&start=19910101&end=20201231&format=JSON
-26.205,28.043,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:33.373351+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=28.043&latitude=-26.205&start=19910101&end=20201231&format=JSON
48.847,2.263,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:36.540124+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.263&latitude=48.847&start=19910101&end=20201231&format=JSON
34.7986,114.30742,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:39.747975+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=114.30742&latitude=34.7986&start=19910101&end=20201231&format=JSON
34.67345,112.43684,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:22:43.098263+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=112.43684&latitude=34.67345&start=19910101&end=20201231&format=JSON
52.229,20.9847,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:04.416862+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=20.9847&latitude=52.229&start=19910101&end=20201231&format=JSON
40.7616,-73.9825,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:07.787378+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-73.9825&latitude=40.7616&start=19910101&end=20201231&format=JSON
52.22977,21.01178,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:11.000717+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=21.01178&latitude=52.22977&start=19910101&end=20201231&format=JSON
48.8566,2.3522,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:14.108606+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=2.3522&latitude=48.8566&start=19910101&end=20201231&format=JSON
53.578,-2.429,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:35.449708+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=-2.429&latitude=53.578&start=19910101&end=20201231&format=JSON
-33.9005,151.2073,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:38.826234+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=151.2073&latitude=-33.9005&start=19910101&end=20201231&format=JSON
48.99923,21.2355,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:42.010805+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=21.2355&latitude=48.99923&start=19910101&end=20201231&format=JSON
9.0579,7.4951,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:23:45.523433+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=7.4951&latitude=9.0579&start=19910101&end=20201231&format=JSON
39.91987,32.85427,v2.9.7,POWER Daily API,MERRA2;POWER,LST,-999.0,19910101,20201231,2026-08-31T11:24:02.563700+00:00,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M_MAX%2CT2MDEW%2CPRECTOTCORR%2CWS10M&community=SB&longitude=32.85427&latitude=39.91987&start=19910101&end=20201231&format=JSON
