event_id,stratum_id,date,case,latitude,longitude,tmax_c,dewpoint_c,precipitation_mm,wind_speed_ms,tmax_lag1_c,tmax_lag2_c,tmax_lag3_c,tmax_p85_c,tmax_p90_c,tmax_p95_c,tmax_anomaly_c,heatwave_indicator,hw_p85_3d,hw_p90_2d,hw_p90_3d,hw_p90_4d,hw_p95_3d,hw_p90_3d_no_floor,weather_status,weather_source,power_api_version,power_time_standard,power_provisional
HRF-0002,HRF-0002,2000-08-27,1,55.75204,37.61781,19.29,10.38,0.07,3.07,16.5,14.49,15.76,25.12,26.043,27.442999999999998,-6.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0002,HRF-0002,2000-08-06,0,55.75204,37.61781,20.02,12.16,0.14,4.46,19.97,20.12,22.15,25.12,26.043,27.442999999999998,-6.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0002,HRF-0002,2000-08-13,0,55.75204,37.61781,20.63,14.58,6.25,2.73,21.46,19.97,18.63,25.12,26.043,27.442999999999998,-5.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0002,HRF-0002,2000-08-20,0,55.75204,37.61781,19.99,12.9,15.71,2.95,21.67,20.37,22.09,25.12,26.043,27.442999999999998,-6.053000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0045,HRF-0045,2012-04-02,1,55.75204,37.61781,-0.39,-6.19,1.85,5.35,0.42,0.05,0.17,15.3615,16.904,18.674,-17.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0045,HRF-0045,2012-04-09,0,55.75204,37.61781,0.42,-0.99,11.58,3.49,0.64,0.33,0.57,15.3615,16.904,18.674,-16.483999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0045,HRF-0045,2012-04-16,0,55.75204,37.61781,2.81,1.64,1.22,4.15,3.98,3.2,0.69,15.3615,16.904,18.674,-14.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0045,HRF-0045,2012-04-23,0,55.75204,37.61781,15.72,9.45,2.64,3.34,16.07,15.71,15.97,15.3615,16.904,18.674,-1.1839999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0045,HRF-0045,2012-04-30,0,55.75204,37.61781,12.7,3.24,3.98,4.59,22.38,22.89,18.09,15.3615,16.904,18.674,-4.204000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0052,HRF-0052,2013-01-25,1,55.75204,37.61781,-12.64,-15.55,0.11,4.79,-10.96,-11.27,-14.61,-0.9335000000000002,0.08100000000000022,0.51,-12.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0052,HRF-0052,2013-01-04,0,55.75204,37.61781,-3.99,-6.11,0.8,2.61,-4.19,-2.62,-3.37,-0.9335000000000002,0.08100000000000022,0.51,-4.071000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0052,HRF-0052,2013-01-11,0,55.75204,37.61781,-14.38,-16.17,0.22,4.3,-12.45,-12.25,-11.13,-0.9335000000000002,0.08100000000000022,0.51,-14.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0052,HRF-0052,2013-01-18,0,55.75204,37.61781,-15.57,-16.96,6.77,6.08,-11.26,-12.27,-9.83,-0.9335000000000002,0.08100000000000022,0.51,-15.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0006,HRF-0006,2002-06-02,1,-34.89842,148.85272,15.06,1.29,0.0,1.41,14.25,13.8,14.38,14.57,15.133000000000001,15.981,-0.0730000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0006,HRF-0006,2002-06-09,0,-34.89842,148.85272,8.32,5.56,2.05,4.3,12.71,14.69,17.34,14.57,15.133000000000001,15.981,-6.813000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0006,HRF-0006,2002-06-16,0,-34.89842,148.85272,13.28,6.59,3.25,3.34,14.71,10.53,8.53,14.57,15.133000000000001,15.981,-1.8530000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0006,HRF-0006,2002-06-23,0,-34.89842,148.85272,9.88,4.39,0.61,2.32,7.03,10.51,11.56,14.57,15.133000000000001,15.981,-5.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0006,HRF-0006,2002-06-30,0,-34.89842,148.85272,10.15,0.18,0.01,1.91,9.78,3.94,9.77,14.57,15.133000000000001,15.981,-4.9830000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0007,HRF-0007,2002-06-28,1,27.9659,-82.8001,27.94,23.46,19.49,1.82,28.64,28.47,27.99,32.8775,33.400999999999996,34.12,-5.460999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0007,HRF-0007,2002-06-07,0,27.9659,-82.8001,31.23,22.98,9.78,1.57,30.97,31.67,32.92,32.8775,33.400999999999996,34.12,-2.170999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0007,HRF-0007,2002-06-14,0,27.9659,-82.8001,30.72,23.37,12.74,4.84,32.6,31.74,32.19,32.8775,33.400999999999996,34.12,-2.6809999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0007,HRF-0007,2002-06-21,0,27.9659,-82.8001,28.67,22.35,13.42,4.62,26.83,28.57,27.48,32.8775,33.400999999999996,34.12,-4.7309999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0008,HRF-0008,2003-03-05,1,-26.2041,28.0473,31.36,10.49,1.98,1.88,31.73,32.85,31.58,30.296499999999998,30.964000000000002,32.079499999999996,0.39599999999999724,1.0,1.0,1.0,1.0,1.0,0.0,1.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0008,HRF-0008,2003-03-12,0,-26.2041,28.0473,30.71,8.42,0.0,2.04,30.5,31.21,30.91,30.296499999999998,30.964000000000002,32.079499999999996,-0.25400000000000134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0008,HRF-0008,2003-03-19,0,-26.2041,28.0473,28.93,13.37,11.21,3.6,30.47,30.78,33.07,30.296499999999998,30.964000000000002,32.079499999999996,-2.0340000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0008,HRF-0008,2003-03-26,0,-26.2041,28.0473,26.31,2.91,0.0,3.87,23.36,25.66,29.42,30.296499999999998,30.964000000000002,32.079499999999996,-4.6540000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0009,HRF-0009,2003-07-29,1,51.5169,-0.1774,20.72,15.14,4.75,6.45,21.45,20.19,20.26,25.63,26.441000000000003,27.7455,-5.721000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0009,HRF-0009,2003-07-01,0,51.5169,-0.1774,17.88,12.84,4.6,4.01,19.66,22.91,21.02,25.63,26.441000000000003,27.7455,-8.561000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0009,HRF-0009,2003-07-08,0,51.5169,-0.1774,21.91,14.65,0.04,3.19,21.81,20.47,19.74,25.63,26.441000000000003,27.7455,-4.531000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
HRF-0009,HRF-0009,2003-07-15,0,51.5169,-0.1774,28.08,15.84,0.43,3.71,26.03,24.15,24.0,25.63,26.441000000000003,27.7455,1.6389999999999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,completed,NASA_POWER_MERRA2_GEOS_IT,v2.9.7,LST,False
