ctif_row,country_ctif,iso3,population_thousands,fire_stations,fire_engines,ladders,career_firefighters,part_time_firefighters,volunteer_firefighters,total_firefighters,fire_stations_per_100k,fire_engines_per_100k,ladders_per_100k,career_firefighters_per_100k,total_firefighters_per_100k,volunteer_share_percent,reference_period,source_report,source_page_pdf,source_url,source_file_sha256
39,Denmark,DNK,5825,286.0,423.0,91.0,1426.0,5189.0,,6615.0,4.909871244635193,7.261802575107295,1.5622317596566524,24.48068669527897,113.56223175965665,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
40,Singapore,SGP,5637,23.0,103.0,23.0,2759.0,,,2759.0,0.4080184495298918,1.8272130565903848,0.4080184495298918,48.94447401099875,48.94447401099875,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
41,Finland,FIN,5565,890.0,1148.0,78.0,3791.0,3400.0,11700.0,18891.0,15.992812219227314,20.628930817610065,1.4016172506738545,68.12219227313567,339.46091644204853,61.93425440686041,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
42,Georgia,GEO,5266,119.0,200.0,15.0,5128.0,,,5128.0,2.259779718951766,3.79794910748196,0.284846183061147,97.37941511583745,97.37941511583745,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
43,New Zealand,NZL,5123,648.0,661.0,25.0,1750.0,,11925.0,13675.0,12.648838571149717,12.902596135077104,0.48799531524497364,34.15967206714816,266.93343743900056,87.20292504570384,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
44,Norway,NOR,5109,597.0,963.0,70.0,3718.0,8152.0,,11870.0,11.685261303581914,18.849089841456255,1.3701311411235075,72.7735368956743,232.3350949305148,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
45,Slovakia,SVK,5042,118.0,351.0,108.0,4296.0,,79004.0,83300.0,2.340341134470448,6.961523205077351,2.1420071400238,85.20428401428005,1652.1221737405792,94.84273709483794,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
46,Ireland,IRL,5033,215.0,300.0,46.0,2012.0,2076.0,0.0,4088.0,4.271806079872839,5.960659646334195,0.9139678124379097,39.976157361414664,81.22392211404728,0.0,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
47,Costa Rica,CRI,4973,76.0,,,,,,,1.5282525638447617,,,,,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
48,Panama,PAN,4395,85.0,15.0,1.0,1708.0,,3896.0,5604.0,1.9340159271899888,0.3412969283276451,0.022753128555176336,38.86234357224118,127.50853242320818,69.52177016416844,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
49,Croatia,HRV,3860,2091.0,2413.0,147.0,4135.0,1100.0,58665.0,63900.0,54.170984455958546,62.512953367875646,3.8082901554404143,107.12435233160622,1655.440414507772,91.8075117370892,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
50,Kuwait,KWT,3800,39.0,50.0,11.0,3800.0,,,3800.0,1.0263157894736843,1.3157894736842104,0.2894736842105263,100.0,100.0,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
51,Albania,ALB,3601,45.0,68.0,6.0,724.0,,,724.0,1.2496528742016106,1.8883643432379895,0.1666203832268814,20.105526242710358,20.105526242710358,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
52,Moldova,MDA,3553,62.0,163.0,25.0,1381.0,,90.0,1471.0,1.7450042217844075,4.587672389529975,0.703630734590487,38.8685617787785,41.40163242330425,6.118286879673692,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
53,Mongolia,MNG,3297,64.0,138.0,6.0,3152.0,74.0,,3226.0,1.9411586290567182,4.185623293903549,0.18198362147406735,95.60206248104338,97.8465271458902,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
54,Lithuania,LTU,2805,87.0,285.0,51.0,2112.0,,1527.0,3639.0,3.1016042780748663,10.16042780748663,1.8181818181818181,75.29411764705883,129.73262032085563,41.962077493816984,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
55,Armenia,ARM,2728,61.0,147.0,12.0,2172.0,,225.0,2397.0,2.236070381231672,5.3885630498533725,0.43988269794721413,79.61876832844574,87.866568914956,9.386733416770964,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
56,Slovenia,SVN,2108,1337.0,1462.0,53.0,1000.0,0.0,35689.0,36689.0,63.425047438330175,69.35483870967742,2.5142314990512333,47.43833017077799,1740.4648956356737,97.27438741857233,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
57,Latvia,LVA,1857,91.0,241.0,37.0,2690.0,,547.0,3237.0,4.900376952073236,12.977921378567583,1.992460958535272,144.85729671513192,174.31340872374798,16.89836268149521,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
58,Bahrain,BHR,1557,13.0,24.0,6.0,604.0,,,604.0,0.8349389852280027,1.5414258188824663,0.3853564547206166,38.792549775208734,38.792549775208734,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
59,Estonia,EST,1365,72.0,78.0,11.0,1549.0,10.0,2629.0,4188.0,5.274725274725275,5.714285714285714,0.805860805860806,113.47985347985347,306.81318681318686,62.774594078319,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
60,Cyprus,CYP,918,35.0,176.0,6.0,764.0,213.0,182.0,1159.0,3.812636165577342,19.172113289760347,0.6535947712418301,83.2244008714597,126.25272331154684,15.703192407247627,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
61,Luxemburg,LUX,643,99.0,171.0,26.0,552.0,,3346.0,3898.0,15.396578538102643,26.594090202177295,4.043545878693624,85.8475894245723,606.2208398133748,85.83889173935351,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
62,Brunei,BRN,430,23.0,40.0,3.0,1320.0,,,1320.0,5.348837209302325,9.30232558139535,0.6976744186046512,306.9767441860465,306.9767441860465,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
63,Barbados,BRB,267,6.0,13.0,2.0,214.0,,,214.0,2.247191011235955,4.868913857677903,0.7490636704119851,80.14981273408239,80.14981273408239,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
64,Andorra,AND,78,4.0,17.0,,120.0,,,120.0,5.128205128205128,21.794871794871796,,153.84615384615387,153.84615384615387,,most recent national data reported during 2010-2023,"CTIF World Fire Statistics Report No. 30 (2025), Table 1.13",49,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
